task_id,top_module_name,num_generations,syntax_pass_count,equiv_pass_count,syntax_pass_rate,equiv_pass_rate,avg_cells_coverage
tt06-finale_0001,tt_um_cejmu_riscv,1,0,0,0.00%,0.00%,N/A
tt06-finale_0002,tt_um_cejmu_riscv,1,0,0,0.00%,0.00%,N/A
tt06-finale_0003,tt_um_cejmu_riscv,1,0,0,0.00%,0.00%,N/A
tt06-finale_0004,tt_um_cejmu_riscv,1,0,0,0.00%,0.00%,N/A
tt06-finale_0005,tt_um_cejmu_riscv,1,0,0,0.00%,0.00%,N/A
tt06-finale_0006,tt_um_cejmu_riscv,1,0,0,0.00%,0.00%,N/A
tt06-finale_0007,tt_um_cejmu_riscv,1,0,0,0.00%,0.00%,N/A
tt06-finale_0008,tt_um_CKPope_top,1,1,1,100.00%,100.00%,100.00%
tt06-finale_0009,tt_um_CKPope_top,1,1,0,100.00%,0.00%,92.26%
tt06-finale_0010,tt_um_CKPope_top,1,1,0,100.00%,0.00%,94.76%
tt06-finale_0011,tt_um_CKPope_top,1,0,0,0.00%,0.00%,N/A
tt06-finale_0012,tt_um_CKPope_top,1,1,1,100.00%,100.00%,100.00%
tt06-finale_0013,tt_um_CKPope_top,1,1,1,100.00%,100.00%,100.00%
tt06-finale_0014,tt_um_fdc_chip,1,1,0,100.00%,0.00%,0.00%
tt06-finale_0015,tt_um_fdc_chip,1,1,0,100.00%,0.00%,92.15%
tt06-finale_0016,tt_um_fdc_chip,1,1,0,100.00%,0.00%,92.15%
tt06-finale_0017,tt_um_fdc_chip,1,1,0,100.00%,0.00%,86.21%
tt06-finale_0018,tt_um_fdc_chip,1,1,0,100.00%,0.00%,90.05%
tt06-finale_0019,tt_um_fdc_chip,1,1,0,100.00%,0.00%,86.91%
tt06-finale_0020,tt_um_fdc_chip,1,1,0,100.00%,0.00%,12.50%
tt06-finale_0021,tt_um_fountaincoder_top,1,1,0,100.00%,0.00%,46.27%
tt06-finale_0022,tt_um_fountaincoder_top,1,0,0,0.00%,0.00%,N/A
tt06-finale_0023,tt_um_ALU,1,1,0,100.00%,0.00%,94.87%
tt06-finale_0024,tt_um_ALU,1,1,1,100.00%,100.00%,100.00%
tt06-finale_0025,tt_um_ALU,1,0,0,0.00%,0.00%,N/A
tt06-finale_0026,tt_um_i_tree_batzolislefteris,1,1,0,100.00%,0.00%,0.00%
tt06-finale_0027,tt_um_i_tree_batzolislefteris,1,0,0,0.00%,0.00%,N/A
tt06-finale_0028,tt_um_i_tree_batzolislefteris,1,0,0,0.00%,0.00%,N/A
tt06-finale_0029,tt_um_shivam,1,0,0,0.00%,0.00%,N/A
tt06-finale_0030,tt_um_shivam,1,1,0,100.00%,0.00%,0.00%
tt06-finale_0031,tt_um_SteffenReith_ASGTop,1,1,0,100.00%,0.00%,93.75%
tt06-finale_0032,tt_um_SteffenReith_ASGTop,1,1,0,100.00%,0.00%,0.00%
tt06-finale_0033,tt_um_SteffenReith_ASGTop,1,1,0,100.00%,0.00%,97.73%
tt06-finale_0034,tt_um_SteffenReith_ASGTop,1,1,0,100.00%,0.00%,97.27%
tt06-finale_0035,tt_um_SteffenReith_ASGTop,1,1,0,100.00%,0.00%,66.67%
tt06-finale_0036,tt_um_SteffenReith_PiMACTop,1,0,0,0.00%,0.00%,N/A
tt06-finale_0037,tt_um_SteffenReith_PiMACTop,1,1,0,100.00%,0.00%,0.00%
tt06-finale_0038,tt_um_thorkn_audiochip_v2,1,1,0,100.00%,0.00%,89.96%
tt06-finale_0039,tt_um_thorkn_audiochip_v2,1,1,0,100.00%,0.00%,94.97%
tt06-finale_0040,tt_um_thorkn_audiochip_v2,1,1,0,100.00%,0.00%,95.32%
tt06-finale_0041,tt_um_thorkn_audiochip_v2,1,1,0,100.00%,0.00%,77.84%
